YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR
1885,1.24,10,10,10
1890,3.08,4,0,4
1890,3.37,4,0,4
2011,7.46,6.02,6,6.5
1890,4.25,7.52,2,7.5
1973,14.37,10,10,10
1890,3,4,0,4
1890,3.26,4,0,4
1917,4.59,10,10,10
1992,10.94,10,10,10
1967,1.49,10,10,10
1895,3.16,4,0,4
1924,11.55,10,10,10
1974,15.45,10,10,10
1982,12.35,10,10,10
1895,3.74,7.52,2,7.5
2004,14.07,10,15,15
1900,4.62,6.02,6,6.5
1986,25.68,10,10,10
1900,3.46,4,0,4
1891,1.46,10,10,10
1921,10.44,10,10,10
1923,9.53,10,10,10
1914,3.76,10,0,10
1900,3.92,4,0,4
1900,4.01,7.52,2,7.5
1999,21.93,10,10,10
1931,2.47,10,10,10
1979,15.42,10,10,10
1900,3.03,4,0,4
1900,3.88,7.52,2,7.5
1987,7.78,10,10,10
1957,4.53,6.02,0,6.5
1900,11.09,10,3.4,10
1900,3.98,4,0,4
1924,9.6,10,10,10
1998,26.96,10,10,10
1900,2.94,4,0,4
1900,3.29,4,0,4
1932,11.08,10,0,10
1997,19.24,10,10,10
2013,45.71,10,10,10
1900,3.52,4,0,4
1957,1.45,6.02,0,6.5
1900,4.75,7.52,2,7.5
2004,10.67,6.02,0,6.5
0,0,10,0,10
0,0,0,2,0
0,0,10,0,10
1900,2.96,4,0,4
2004,5.4,10,0,10
0,0,10,10,10
0,0,10,0,10
0,0,10,10,10
0,0,0,0,0
1962,7.72,6.02,0,6.5
0,0,6.02,3.4,6.5
1999,11.93,10,0,10
0,0,0,0,0
1900,3.52,4,0,4
1999,23.01,10,10,10
0,0,10,0,10
1907,5.28,6.02,0,6.5
0,0,6.02,3.4,6.5
0,0,6.02,3.4,6.5
2011,9.07,10,10,10
1907,5.28,6.02,0,6.5
1986,0.4,0,2,0
0,0,10,0,10
0,0,10,10,10
1900,3.65,7.52,2,7.5
2006,10.89,10,0,10
2007,6.83,6.02,6,6.5
0,0,6.02,3.4,6.5
0,0,10,0,10
0,0,10,0,10
0,0,10,0,10
1927,3.34,6.02,0,6.5
1976,14.87,6.02,0,6.5
2006,12.2,10,0,10
1911,4.19,6.02,0,6.5
1998,11.66,10,0,10
2007,6.3,6.02,6,6.5
2002,12.07,10,0,10
1957,5.8,10,10,10
0,0,10,0,10
0,0,10,0,10
0,0,0,0,0
1948,2,6.02,0,6.5
1997,14.22,10,0,10
2006,9.29,10,10,10
2009,7.72,10,0,10
1962,5.82,6.02,0,6.5
1907,5.28,6.02,0,6.5
1929,4.06,10,10,10
2007,14.49,6.02,6,6.5
0,0,10,0,10
0,0,6.02,3.4,6.5
0,0,10,0,10
1911,4.19,6.02,0,6.5
0,12.94,10,10,10
0,0,6.02,3.4,6.5
0,0,10,0,10
2008,12.25,10,0,10
1927,5.84,6.02,0,6.5
1994,12.97,10,10,10
0,0,10,0,10
1907,5.28,6.02,0,6.5
0,0,10,10,10
